# DUET gene panel -- PLAN.md E.4 phase-1 resolution, PLAN.md N.2 data/panels/.
#
# GENERATED by src/fermdb/omics/genes.py from two sources, and reviewed as a diff:
#   identity columns : s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900),
#                      the RefSeq rna_from_genomic FASTA for GCF_000146045.2
#   duet_role columns: docs/design/DUET_TARGET.md §3, parsed from its Markdown table
#
# The role lives here rather than in the database because no table models it: gene and
# gene_group have no role column, gene_annotation.source is a closed set of external
# annotation authorities, and `predicate` is a closed vocabulary with no membership term.
# Recording it in one of those would be a fabrication in a column that means something
# else. See this module's docstring.
#
# duet_role 'unknown' = the role table was consulted and does not place this gene.
# It is not NULL (nobody looked) and not 'NA' (not applicable).
standard_name	systematic_name	gene_group_id	ncbi_gene_id	encoding_genome	duet_role	duet_role_label	product	evidence	confidence
POS5	YPL188W	YAA:GG:ypl188w	855913	nuclear	redox_shuttle	Redox shuttle	NADH kinase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PTK2	YJR059W	YAA:GG:yjr059w	853522	nuclear	efflux_tolerance	Efflux / tolerance	protein kinase PTK2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
RKI1	YOR095C	YAA:GG:yor095c	854262	nuclear	pentose_ppp	Pentose / PPP	ribose-5-phosphate isomerase RKI1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
RPE1	YJL121C	YAA:GG:yjl121c	853322	nuclear	pentose_ppp	Pentose / PPP	ribulose-phosphate 3-epimerase RPE1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
SNQ2	YDR011W	YAA:GG:ydr011w	851574	nuclear	efflux_tolerance	Efflux / tolerance	ATP-binding cassette transporter SNQ2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
SOD2	YHR008C	YAA:GG:yhr008c	856399	nuclear	fe_s_machinery	Fe-S machinery	superoxide dismutase SOD2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
SPT15	YER148W	YAA:GG:yer148w	856891	nuclear	global_regulation	Global regulation	TATA-binding protein	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
TAL1	YLR354C	YAA:GG:ylr354c	851068	nuclear	pentose_ppp	Pentose / PPP	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase TAL1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
TKL1	YPR074C	YAA:GG:ypr074c	856188	nuclear	pentose_ppp	Pentose / PPP	transketolase TKL1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
XKS1	YGR194C	YAA:GG:ygr194c	853108	nuclear	pentose_ppp	Pentose / PPP	xylulokinase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
YFH1	YDL120W	YAA:GG:ydl120w	851437	nuclear	fe_s_machinery	Fe-S machinery	ferroxidase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
YOR1	YGR281W	YAA:GG:ygr281w	853198	nuclear	efflux_tolerance	Efflux / tolerance	ATP-binding cassette transporter YOR1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
